rank,name,url,age,height,roles,titles,aliases
110,Laura Bailey,https://pro.imdb.com/name/nm1154161/graph?ref_=nm_mtr,,5' 5",Actress|Miscellaneous Crew|Soundtrack,Uncharted 4: A Thief's End|Halo 5: Guardians|Gears of War 4,Elle Deets
111,Vanessa Kirby,https://pro.imdb.com/name/nm3948952/graph?ref_=nm_mtr,,5' 7",Actress|Soundtrack,The Crown|Mission: Impossible - Fallout|About Time,Noola Noo
112,Kelly Rohrbach,https://pro.imdb.com/name/nm4859097/graph?ref_=nm_mtr,27,5' 9",Actress,Baywatch|Broad City|Café Society,
113,Lea Thompson,https://pro.imdb.com/name/nm0000670/graph?ref_=nm_mtr,57,5' 3",Actress|Producer|Director,Back to the Future Part II|Back to the Future|Howard the Duck,
114,Jessica Chastain,https://pro.imdb.com/name/nm1567113/graph?ref_=nm_mtr,41,5' 4",Actress|Producer|Soundtrack,Zero Dark Thirty|The Tree of Life|Interstellar,
115,Melissa McCarthy,https://pro.imdb.com/name/nm0565250/graph?ref_=nm_mtr,47,5' 2",Actress|Producer|Soundtrack,The Heat|Spy|Bridesmaids,
116,Emily Ratajkowski,https://pro.imdb.com/name/nm1589279/graph?ref_=nm_mtr,26,5' 7",Actress,We Are Your Friends|Gone Girl|Entourage,
117,John Krasinski,https://pro.imdb.com/name/nm1024677/graph?ref_=nm_mtr,38,6' 3",Actor|Producer|Soundtrack,A Quiet Place|The Office|Something Borrowed,
118,Tom Hiddleston,https://pro.imdb.com/name/nm1089991/graph?ref_=nm_mtr,37,6' 2¼",Actor|Producer|Soundtrack,The Avengers|Thor|The Night Manager,Hiddles
119,Michelle Williams,https://pro.imdb.com/name/nm0931329/graph?ref_=nm_mtr,37,5' 4",Actress|Soundtrack|Producer,Blue Valentine|My Week with Marilyn|Manchester by the Sea,
120,Andy Serkis,https://pro.imdb.com/name/nm0785227/graph?ref_=nm_mtr,54,5' 8",Actor|Producer|Soundtrack,War for the Planet of the Apes|Rise of the Planet of the Apes|Dawn of the Planet of the Apes,Andy Serkis and The Blockheads|Gollum
121,Logan Marshall-Green,https://pro.imdb.com/name/nm1334869/graph?ref_=nm_mtr,41,5' 11",Actor|Producer,The Invitation|Spider-Man: Homecoming|Devil,Logan Marshall Green
122,Clancy Brown,https://pro.imdb.com/name/nm0000317/graph?ref_=nm_mtr,59,6' 3¾",Actor|Soundtrack|Producer,The Shawshank Redemption|Starship Troopers|Thor: Ragnarok,
123,Bill Skarsgård,https://pro.imdb.com/name/nm0803889/graph?ref_=nm_mtr,27,6' 3¾",Actor,It|Allegiant|Deadpool 2,Bill Skarsgard|Billie
124,K.J. Apa,https://pro.imdb.com/name/nm6216001/graph?ref_=nm_mtr,20,5' 11",Actor|Soundtrack,Riverdale|The Cul De Sac|A Dog's Purpose,KJ Apa|KJ
125,Christian Navarro,https://pro.imdb.com/name/nm2111303/graph?ref_=nm_mtr,,5' 7",Actor,13 Reasons Why|Bushwick|Vinyl,
126,Charlize Theron,https://pro.imdb.com/name/nm0000234/graph?ref_=nm_mtr,42,5' 9½",Actress|Producer|Soundtrack,Monster|Mad Max: Fury Road|Snow White and the Huntsman,Sharliz Teron|Charlie
127,Max Minghella,https://pro.imdb.com/name/nm1540404/graph?ref_=nm_mtr,32,5' 10",Actor|Producer|Writer,The Social Network|Horns|The Darkest Hour,
128,Christina Hendricks,https://pro.imdb.com/name/nm0376716/graph?ref_=nm_mtr,43,5' 8",Actress|Soundtrack,Ginger &amp; Rosa|The Neon Demon|Mad Men,
129,Jason Momoa,https://pro.imdb.com/name/nm0597388/graph?ref_=nm_mtr,38,6' 4",Actor|Producer|Director,Justice League|Conan the Barbarian|Stargate: Atlantis,
130,Milly Shapiro,https://pro.imdb.com/name/nm8412536/graph?ref_=nm_mtr,,,Actress,Hereditary|Broadway Kids Against Bullying: I Have a Voice|The 67th Annual Tony Awards,
131,Chadwick Boseman,https://pro.imdb.com/name/nm1569276/graph?ref_=nm_mtr,40,6' 0",Actor|Producer|Writer,Black Panther|Captain America: Civil War|42,Chad Boseman|Chad
132,Cate Blanchett,https://pro.imdb.com/name/nm0000949/graph?ref_=nm_mtr,49,5' 8",Actress|Producer|Director,Carol|Blue Jasmine|Elizabeth,
133,Hailee Steinfeld,https://pro.imdb.com/name/nm2794962/graph?ref_=nm_mtr,21,5' 7",Actress|Soundtrack|Music Department,True Grit|The Edge of Seventeen|Pitch Perfect 2,
134,Amanda Seyfried,https://pro.imdb.com/name/nm1086543/graph?ref_=nm_mtr,32,5' 2½",Actress|Soundtrack|Producer,Les Misérables|Mean Girls|Dear John,
135,Keri Russell,https://pro.imdb.com/name/nm0005392/graph?ref_=nm_mtr,42,5' 4",Actress|Soundtrack,Waitress|Mission: Impossible III|Dawn of the Planet of the Apes,Care Bear
136,Keanu Reeves,https://pro.imdb.com/name/nm0000206/graph?ref_=nm_mtr,53,6' 1¼",Actor|Producer|Soundtrack,The Matrix|Speed|Point Break,Norman Kreeves|K.C. Reeves|Keannu Reeves
137,Christopher Nolan,https://pro.imdb.com/name/nm0634240/graph?ref_=nm_mtr,47,5' 11½",Writer|Producer|Director,Interstellar|Inception|The Prestige,Chris Nolan|Chris
138,Angelina Jolie,https://pro.imdb.com/name/nm0001401/graph?ref_=nm_mtr,43,5' 6¾",Actress|Producer|Director,Maleficent|Girl, Interrupted|Changeling,Angelina|Angelina Jolie Pitt|Angelina Jolie Voight
139,Eline Powell,https://pro.imdb.com/name/nm4730958/graph?ref_=nm_mtr,,5' 4",Actress,Siren|Game of Thrones,
140,Priyanka Chopra,https://pro.imdb.com/name/nm1231899/graph?ref_=nm_mtr,35,5' 6½",Actress|Producer|Soundtrack,Baywatch|Bajirao Mastani|Barfi!,Piggy Chops|Mimi|Piggy Chops
141,Ana de Armas,https://pro.imdb.com/name/nm1869101/graph?ref_=nm_mtr,,5' 6¼",Actress,Blade Runner 2049|Hands of Stone|War Dogs,Ana De Armas|Ana Celia de Armas
142,Chloë Grace Moretz,https://pro.imdb.com/name/nm1631269/graph?ref_=nm_mtr,21,5' 4",Actress|Soundtrack,Let Me In|The 5th Wave|If I Stay,Chloe Grace|Kuroe Gurêsu Morettsu|Chloe Grace Moretz
143,Zac Efron,https://pro.imdb.com/name/nm1374980/graph?ref_=nm_mtr,30,5' 8",Actor|Soundtrack|Producer,High School Musical 3: Senior Year|17 Again|Hairspray,Zachary Efron|Zefron
144,Mary Elizabeth Winstead,https://pro.imdb.com/name/nm0935541/graph?ref_=nm_mtr,33,5' 8",Actress|Producer|Soundtrack,10 Cloverfield Lane|Scott Pilgrim vs. the World|Smashed,MEW|Mary
